TimeSeconds,Power [W],CumulativeEnergy,Status
238.0,0.99,245.84000000000012,At Work (Not in the office)
239.0,0.975,246.8150000000001,At Work (Not in the office)
240.0,1.0,247.8150000000001,At Work (Not in the office)
241.0,0.99,248.80500000000012,At Work (Not in the office)
242.0,0.975,249.78000000000011,At Work (Not in the office)
243.0,1.03,250.81000000000012,At Work (Not in the office)
244.0,0.975,251.7850000000001,At Work (Not in the office)
245.0,1.04,252.8250000000001,At Work (Not in the office)
246.0,0.99,253.8150000000001,At Work (Not in the office)
247.0,0.975,254.7900000000001,At Work (Not in the office)
248.0,1.05,255.84000000000012,At Work (Not in the office)
249.0,1.01,256.85000000000014,At Work (Not in the office)
250.0,1.03,257.8800000000001,At Work (Not in the office)
251.0,1.01,258.8900000000001,At Work (Not in the office)
252.0,0.995,259.8850000000001,At Work (Not in the office)
253.0,1.01,260.8950000000001,At Work (Not in the office)
254.0,0.975,261.8700000000001,At Work (Not in the office)
255.0,0.99,262.8600000000001,At Work (Not in the office)
256.0,1.04,263.90000000000015,At Work (Not in the office)
257.0,1.02,264.92000000000013,At Work (Not in the office)
258.0,1.05,265.97000000000014,At Work (Not in the office)
259.0,0.975,266.94500000000016,At Work (Not in the office)
260.0,0.99,267.9350000000002,At Work (Not in the office)
261.0,0.995,268.9300000000002,At Work (Not in the office)
262.0,1.0,269.9300000000002,At Work (Not in the office)
263.0,0.98,270.9100000000002,At Work (Not in the office)
264.0,1.16,272.0700000000002,At Work (Not in the office)
265.0,1.01,273.0800000000002,At Work (Not in the office)
266.0,1.04,274.12000000000023,At Work (Not in the office)
267.0,1.01,275.1300000000002,At Work (Not in the office)
268.0,1.15,276.2800000000002,At Work (Not in the office)
269.0,1.05,277.3300000000002,At Work (Not in the office)
270.0,1.01,278.3400000000002,At Work (Not in the office)
271.0,1.0,279.3400000000002,At Work (Not in the office)
272.0,1.09,280.4300000000002,At Work (Not in the office)
273.0,0.975,281.4050000000002,At Work (Not in the office)
274.0,0.99,282.3950000000002,At Work (Not in the office)
275.0,1.01,283.4050000000002,At Work (Not in the office)
276.0,0.98,284.3850000000002,At Work (Not in the office)
277.0,1.06,285.4450000000002,At Work (Not in the office)
278.0,0.98,286.42500000000024,At Work (Not in the office)
279.0,1.12,287.54500000000024,At Work (Not in the office)
280.0,1.28,288.8250000000002,At Work (Not in the office)
281.0,1.09,289.9150000000002,At Work (Not in the office)
282.0,1.07,290.9850000000002,At Work (Not in the office)
283.0,0.98,291.9650000000002,At Work (Not in the office)
284.0,1.0,292.9650000000002,At Work (Not in the office)
285.0,0.995,293.9600000000002,At Work (Not in the office)
286.0,1.01,294.9700000000002,At Work (Not in the office)
287.0,1.16,296.1300000000002,At Work (In the Office)
288.0,0.975,297.10500000000025,At Work (In the Office)
289.0,0.995,298.10000000000025,At Work (In the Office)
290.0,1.03,299.1300000000002,At Work (In the Office)
291.0,0.99,300.12000000000023,At Work (In the Office)
